commit_id	validation_f1	validation_accuracy	validation_bal_acc	test_f1	test_accuracy	test_bal_acc	headline_score	promotion_gate	status	description
0fe5d35	0.5824	0.4479	0.5333	0.8078	0.6968	0.5636	0.6620	pass	discard	add drawdown_60 after NaN cleanup does not beat NaN-clean baseline
0fe5d35	0.5917	0.4540	0.5428	0.8083	0.7014	0.5768	0.6690	pass	candidate	add sma_gap_60 after NaN cleanup; strongest validation and bal_acc profile
0fe5d35	0.5811	0.4294	0.5224	0.8084	0.6937	0.5516	0.6573	pass	discard	add volume_vs_60 after NaN cleanup remains weak
c961e17	0.5868	0.4448	0.5345	0.8128	0.7044	0.5718	0.6675	pass	candidate	ret_60 candidate remains stable across seeds and best test_f1 on current split
c961e17	0.5917	0.4540	0.5428	0.8083	0.7014	0.5768	0.6690	pass	candidate	sma_gap_60 candidate remains stable across seeds and strongest validation_bal_acc
c961e17	0.5868	0.4448	0.5345	0.8128	0.7044	0.5718	0.6675	pass	discard	ret_60 plus drawdown_20:volume_vs_20 matches ret_60 because interaction is already in the default model
c961e17	0.5917	0.4540	0.5428	0.8083	0.7014	0.5768	0.6690	pass	discard	sma_gap_60 plus drawdown_20:volume_vs_20 matches sma_gap_60 because interaction is already in the default model
c961e17	0.5867	0.4151	0.5000	0.8697	0.7694	0.5000	0.6652	fail	discard	starting training from 2012 shrinks history but collapses balanced accuracy to chance level
c961e17	0.7607	0.6138	0.5000	0.8721	0.7732	0.5000	0.7010	fail	discard	starting training from 2016 inflates f1 via positive bias while balanced accuracy stays at chance
55df78c	0.5928	0.4586	0.5460	0.8088	0.7075	0.5948	0.6751	pass	candidate	combine ret_60 and sma_gap_60 for the strongest overall validation and balanced-accuracy trade-off on the default target
55df78c	0.5928	0.4586	0.5460	0.8088	0.7075	0.5948	0.6751	pass	discard	ret_60 plus sma_gap_60 plus drawdown_20:volume_vs_20 matches the combo because that interaction is already enabled by default
55df78c	0.5809	0.4555	0.5365	0.8000	0.6937	0.5785	0.6634	pass	discard	replacing ret_20 with ret_60 loses validation_f1 and test_f1 versus keeping the richer short-plus-long return stack
55df78c	0.5824	0.4325	0.5249	0.6541	0.5498	0.5062	0.5825	fail	discard	adding year as a simple regime feature sharply hurts test generalization
55df78c	0.5724	0.4018	0.5013	0.8062	0.6753	0.5000	0.6371	fail	discard	adding rolling_return_120 collapses toward all-positive predictions and chance balanced accuracy
55df78c	0.5762	0.4110	0.5090	0.8105	0.7014	0.5695	0.6612	fail	discard	adding rolling_vol_60 is the least-bad regime feature but still trails ret_60 and the ret_60 plus sma_gap_60 combo
55df78c	0.5724	0.4018	0.5013	0.8111	0.6876	0.5225	0.6458	fail	discard	adding all simple regime features together still overpredicts positives and does not close the regime gap
55df78c	0.5944	0.4262	0.5049	0.8103	0.6896	0.5276	0.6518	fail	discard	80d +8/-4 with ret_60 lifts validation_f1 only by predicting almost all positives and weakens balance on test
55df78c	0.6275	0.4579	0.5012	0.8219	0.7008	0.5135	0.6584	fail	discard	120d +8/-4 with ret_60 inflates f1 while balanced accuracy degrades toward chance and positive-rate bias
55df78c	0.5346	0.5409	0.6322	0.7250	0.6077	0.5282	0.6186	fail	discard	60d +12/-6 improves class balance but clearly underperforms the default target on core f1 metrics
ecddabe	0.5931	0.4571	0.5454	0.8040	0.7014	0.5903	0.6719	pass	discard	ret_60 plus sma_gap_60 with neg_weight=1.1 does not improve the combo leader on test
ecddabe	0.5813	0.4233	0.5192	0.8087	0.7044	0.5852	0.6672	fail	discard	adding rolling_vol_60 on top of the combo weakens validation quality without improving test
ecddabe	0.5724	0.4018	0.5013	0.8062	0.6753	0.5000	0.6371	fail	discard	ret_120 collapses toward all-positive behavior and chance balanced accuracy
ecddabe	0.5831	0.4387	0.5288	0.8077	0.6953	0.5588	0.6602	pass	discard	sma_gap_120 is milder than ret_120 but still weaker than sma_gap_60 and the combo
ecddabe	0.6074	0.4985	0.5767	0.7304	0.6417	0.6000	0.6513	pass	discard	ret_60:sma_gap_60 interaction overfits validation and breaks test f1
07bef55	0.5931	0.4571	0.5454	0.8028	0.6998	0.5892	0.6710	pass	discard	ret_60 plus sma_gap_60 with neg_weight=1.05 stays below the combo on test f1 and balanced accuracy
07bef55	0.5934	0.4555	0.5448	0.8135	0.7121	0.5946	0.6769	pass	candidate	ret_60 plus sma_gap_60 with neg_weight=1.15 becomes the strongest current overall candidate under the test-weighted headline score
07bef55	0.5841	0.4387	0.5294	0.8030	0.6830	0.5351	0.6515	fail	discard	drawdown_120 adds a mild long-window pullback feature but weakens test balance materially
07bef55	0.5843	0.4325	0.5262	0.8068	0.6876	0.5372	0.6534	fail	discard	volume_vs_120 does not improve on existing 60-day volume or combo leaders
07bef55	0.5913	0.4509	0.5409	0.8105	0.7014	0.5695	0.6674	pass	discard	sma_gap_60 plus sma_gap_120 is respectable but still weaker than the ret_60 plus sma_gap_60 combo
e8f82bb	0.5900	0.4479	0.5384	0.8097	0.6983	0.5623	0.6644	pass	discard	sma_gap_60 plus sma_gap_120 with neg_weight=1.15 remains a viable backup but does not beat the ret_60 plus sma_gap_60 line
aaf9daa	0.5934	0.4555	0.5448	0.8135	0.7121	0.5946	0.6769	pass	candidate	ret_60 plus sma_gap_60 with neg_weight=1.15 remains the model leader after symmetric rule comparison, but its best trading rule is top 20% rather than fixed 0.49
aaf9daa	0.5928	0.4586	0.5460	0.8088	0.7075	0.5948	0.6751	pass	discard	the original combo still owns the best forward trading rule with top 15% ranking even though neg_weight=1.15 leads on headline_score
aaf9daa	0.5928	0.4586	0.5460	0.8088	0.7075	0.5948	0.6751	pass	candidate	the original combo top 15% remains the strongest current trading rule after 12.5% and 17.5% ranking sweeps
d6022ec	0.5959	0.4619	0.5539	0.8136	0.7127	0.5947	0.6784	pass	candidate	context-ready cohort baseline combo refresh shows ret_60 plus sma_gap_60 back on top after adding the new context feature universe
d6022ec	0.5957	0.4635	0.5546	0.8111	0.7095	0.5924	0.6768	pass	discard	ret_60 plus sma_gap_60 with neg_weight=1.15 no longer leads on the refreshed context-ready cohort
d6022ec	0.5721	0.4111	0.5105	0.8031	0.6794	0.5200	0.6427	fail	discard	distance_to_252_high is weak on its own despite being a useful add-on candidate
d6022ec	0.5853	0.4444	0.5374	0.8091	0.6937	0.5463	0.6583	pass	discard	close_location_20 is the best standalone new input by validation but not enough to beat the combo line
d6022ec	0.5788	0.4317	0.5262	0.8110	0.6952	0.5449	0.6562	pass	discard	up_day_ratio_20 is a respectable standalone structure feature but not a new leader
d6022ec	0.5682	0.3968	0.5000	0.8102	0.6810	0.5000	0.6377	fail	discard	above_200dma_flag collapses into all-positive behavior and does not fix regime issues
d6022ec	0.5805	0.4333	0.5282	0.8115	0.6968	0.5487	0.6581	pass	discard	atr_pct_20 is a clean standalone volatility-state feature but still below the combo baseline
d6022ec	0.5701	0.4016	0.5039	0.8139	0.6937	0.5292	0.6487	fail	discard	gld_vs_spy_20 has headline test f1 pop but weak balance makes it too unstable as a standalone feature
d6022ec	0.5847	0.4476	0.5387	0.8204	0.7206	0.5979	0.6783	pass	candidate	ret_60 plus sma_gap_60 plus distance_to_252_high is the strongest new-input combo by test f1 and remains the top follow-up candidate
d6022ec	0.6010	0.4857	0.5696	0.7886	0.6825	0.5765	0.6656	pass	discard	ret_60 plus sma_gap_60 plus close_location_20 is a new validation-only winner that clearly weakens test f1
d6022ec	0.5878	0.4524	0.5433	0.8116	0.7111	0.5962	0.6754	pass	discard	ret_60 plus sma_gap_60 plus up_day_ratio_20 is a healthy third-place add-on but still trails the best new candidates
d6022ec	0.5688	0.3984	0.5013	0.8108	0.6873	0.5192	0.6440	fail	discard	ret_60 plus sma_gap_60 plus above_200dma_flag overpredicts positives and weakens balance
d6022ec	0.5915	0.4651	0.5525	0.8096	0.7111	0.6028	0.6782	pass	candidate	ret_60 plus sma_gap_60 plus atr_pct_20 delivers the best balanced accuracy among the new-input combos and deserves deeper validation
d6022ec	0.5806	0.4841	0.5553	0.7593	0.6508	0.5611	0.6437	pass	discard	ret_60 plus sma_gap_60 plus gld_vs_spy_20 hurts test f1 materially despite decent balance
7424ecd	0.5376	0.4120	0.5486	0.8094	0.7094	0.5962	0.6650	pass	live	ret_60 plus sma_gap_60 remains the current pure-GLD live model
7424ecd	0.5237	0.3932	0.5239	0.8231	0.7145	0.5941	0.6646	pass	discard	ret_60 plus sma_gap_60 plus distance_to_252_high lifts test f1 but remains too unstable in walk-forward validation
7424ecd	0.5362	0.4103	0.5460	0.8094	0.7094	0.5962	0.6645	pass	discard	ret_60 plus sma_gap_60 plus atr_pct_20 is the steadier balanced-accuracy candidate but does not clearly beat the refreshed combo
7424ecd	0.5326	0.4051	0.5439	0.8036	0.7077	0.5928	0.6602	pass	discard	ret_60 plus sma_gap_60 plus up_day_ratio_20 remains a healthy third candidate but is not the lead direction
7424ecd	0.5312	0.4034	0.5413	0.8230	0.7197	0.5884	0.6661	pass	discard	gld_vs_tlt_20 is the strongest standalone external datasource but its combo add-on does not surpass the main line
7424ecd	0.5367	0.4103	0.5458	0.8134	0.7111	0.6000	0.6673	pass	candidate	ret_60 plus sma_gap_60 plus gld_vs_gdx_20 is the strongest single cross-asset combo and merits deeper validation
7424ecd	0.5258	0.3950	0.5278	0.8249	0.7179	0.5996	0.6678	pass	candidate	ret_60 plus sma_gap_60 plus distance_to_252_high plus gld_vs_gdx_20 is the best current cross-asset follow-up candidate on headline score and test f1
7424ecd	0.5380	0.4000	0.5515	0.7863	0.6932	0.5363	0.6382	fail	discard	slv_gld_ratio_20 does not translate internal precious-metals rotation into a competitive signal
f67a6ce	0.5258	0.3863	0.5278	0.8249	0.7265	0.5996	0.6678	pass	discard	ret_60 plus sma_gap_60 plus distance_to_252_high plus gld_vs_gdx_20 remains the highest-upside cross-asset candidate but still collapses into all-positive early walk-forward folds
f67a6ce	0.5367	0.4068	0.5458	0.8134	0.7145	0.6000	0.6673	pass	discard	ret_60 plus sma_gap_60 plus gld_vs_gdx_20 is the steadier GDX variant but early walk-forward folds still break and block promotion
f67a6ce	0.5225	0.3846	0.5242	0.8261	0.7265	0.5951	0.6659	pass	discard	ret_60 plus sma_gap_60 plus distance_to_252_high plus gld_vs_tlt_20 keeps the best test f1 of the trio but weaker balance and forward returns make it the weaker follow-up
7331135	0.5360	0.4051	0.5445	0.8133	0.7128	0.5942	0.6652	pass	discard	ret_60 plus sma_gap_60 plus gld_vs_gdx_20 with neg_weight 1.15 only slightly reduces early all-positive bias and does not justify promotion
7331135	0.5258	0.3863	0.5278	0.8240	0.7248	0.5969	0.6666	pass	candidate	ret_60 plus sma_gap_60 plus distance_to_252_high plus gld_vs_gdx_20 with neg_weight 1.15 is the best corrected GDX candidate but still fails one early walk-forward fold
7331135	0.5367	0.4068	0.5458	0.8120	0.7111	0.5930	0.6646	pass	discard	ret_60 plus sma_gap_60 plus gld_vs_gdx_20 with neg_weight 1.30 loses test quality without meaningfully improving walk-forward stability
7331135	0.5258	0.3863	0.5278	0.8244	0.7248	0.5954	0.6663	pass	discard	ret_60 plus sma_gap_60 plus distance_to_252_high plus gld_vs_gdx_20 with neg_weight 1.30 does not beat the 1.15 corrected version and can be stopped
130a727	0.5397	0.4547	0.5660	0.7937	0.6872	0.5741	0.6542	pass	discard	gld_vs_gdx_60 alone improves validation balance but does not solve early-fold instability or beat the stronger combo lines
130a727	0.5411	0.4376	0.5611	0.7889	0.6872	0.5892	0.6567	pass	discard	ret_60 plus sma_gap_60 plus gld_vs_gdx_60 looks cleaner on validation but gives up too much test_f1 versus the 20-day GDX route
130a727	0.5279	0.4222	0.5435	0.8134	0.7145	0.6000	0.6653	pass	discard	ret_60 plus sma_gap_60 plus distance_to_252_high plus gld_vs_gdx_60 is the best 60-day GDX variant but still trails the 20-day candidate and remains unstable in early walk-forward folds
0a2e212	0.5959	0.4619	0.5539	0.8136	0.7127	0.5947	0.6784	pass	live	ret_60 plus sma_gap_60 remains the strongest pure-GLD live model after the formal no-external-data refresh
0a2e212	0.5915	0.4651	0.5525	0.8096	0.7111	0.6028	0.6782	pass	discard	ret_60 plus sma_gap_60 plus atr_pct_20 improves balanced accuracy and top-20pct forward return but still falls just short of the refreshed live combo
0a2e212	0.5878	0.4524	0.5433	0.8116	0.7111	0.5962	0.6754	pass	discard	ret_60 plus sma_gap_60 plus up_day_ratio_20 stays healthy across metrics but does not beat the refreshed live combo on score or trading summary
0a2e212	0.6010	0.4857	0.5696	0.7886	0.6825	0.5765	0.6655	pass	discard	ret_60 plus sma_gap_60 plus close_location_20 remains a validation-heavy pure-GLD variant that loses too much test quality
0a2e212	0.3039	0.3063	0.3149	0.2998	0.3508	0.3204	0.3083	fail	discard	three-bucket baseline using ret_60 plus sma_gap_60 only reaches macro_f1 0.2998 and does not yet provide a clean replacement for binary live
0a2e212	0.2995	0.3016	0.3122	0.2971	0.3556	0.3078	0.3023	fail	discard	three-bucket plus atr_pct_20 does not improve macro_f1 or balanced accuracy versus the baseline
0a2e212	0.3078	0.3079	0.3154	0.2809	0.3317	0.2997	0.2954	fail	discard	three-bucket plus up_day_ratio_20 lifts validation macro_f1 slightly but breaks test generalization
0a2e212	0.3054	0.3079	0.3162	0.2972	0.3476	0.3175	0.3068	fail	discard	three-bucket plus close_location_20 is the cleanest validation variant but still trails the baseline on test macro_f1
4dc1f40	0.2941	0.4413	0.3259	0.2124	0.2968	0.3085	0.2743	fail	discard	three-bucket up8 down4 shifts more samples into flat but collapses test macro_f1 and does not solve the regime problem
4dc1f40	0.3087	0.6127	0.3536	0.2194	0.4127	0.3423	0.2981	fail	discard	three-bucket up8 down6 is the cleanest second-round boundary variant but still remains far below useful test quality
4dc1f40	0.2839	0.3476	0.2924	0.3109	0.4048	0.3207	0.2983	fail	discard	three-bucket regime-aware split by above_200dma does not materially improve the baseline and ends the three-bucket branch
4782807	0.5801	0.4302	0.5263	0.8154	0.7175	0.6048	0.6762	pass	candidate	ret_60 plus sma_gap_60 plus rolling_vol_60 weakens validation but improves test f1, test balanced accuracy, and walk-forward top-percentile returns enough to stay on the pure-GLD shortlist
4782807	0.5695	0.4000	0.5026	0.8152	0.6921	0.5187	0.6459	fail	discard	ranking baseline keeps only weak score-return correlation and fails the promotion gate even though its top-15pct walk-forward return beats binary live
4782807	0.5972	0.4905	0.5694	0.7492	0.6175	0.4917	0.6236	fail	discard	ranking plus atr_pct_20 has the best validation spearman but breaks on test and does not form a stable ranking line
4782807	0.5695	0.4000	0.5026	0.8149	0.6921	0.5201	0.6461	fail	candidate	ranking plus rolling_vol_60 is the strongest first-round ranking candidate thanks to the best test spearman and top-20pct walk-forward average return
1269af5	0.5801	0.4302	0.5263	0.8154	0.7175	0.6048	0.6762	pass	candidate	ret_60 plus sma_gap_60 plus rolling_vol_60 keeps its stronger test metrics through seed and walk-forward validation but still trails live on headline score, so it remains the leading binary candidate rather than a direct live replacement
84691d2	0.5801	0.4302	0.5263	0.8154	0.7175	0.6048	0.6762	pass	candidate	ret_60 plus sma_gap_60 plus rolling_vol_60 remains a model candidate, but its top-20pct rule clearly beats its own threshold on test and walk-forward returns, so live outputs now separate model signal from percentile-rule context
eb85247	0.5695	0.4000	0.5026	0.8149	0.6921	0.5201	0.6461	fail	discard	ranking branch is retired from the formal backlog because it only showed a narrow top-15pct edge while overall remaining less stable and less useful than the binary pure-GLD line
3c19131	0.3926	0.2553	0.5063	0.0800	0.0666	0.4943	0.3094	fail	discard	exit baseline with a symmetric -8% before +4% target collapses on test because the recent regime leaves only a 4.22% exit positive rate
3c19131	0.3926	0.2553	0.5063	0.0772	0.0682	0.4768	0.3031	fail	discard	exit ret_60 plus sma_gap_60 does not help the first exit target and further weakens test balanced accuracy
3c19131	0.3906	0.2439	0.5011	0.0787	0.0503	0.4859	0.3055	fail	discard	exit ret_60 plus sma_gap_60 plus rolling_vol_60 remains unusable on the symmetric exit target and confirms the current exit branch is dominated by regime shift
